sex,age_days,l,m,s
1,635,1.00000,85.00750,0.03371
1,636,1.00000,85.03790,0.03372
1,637,1.00000,85.06830,0.03373
1,638,1.00000,85.09870,0.03374
1,639,1.00000,85.12910,0.03375
1,640,1.00000,85.15940,0.03377
1,641,1.00000,85.18970,0.03378
1,642,1.00000,85.22000,0.03379
1,643,1.00000,85.25030,0.03380
1,644,1.00000,85.28050,0.03381
1,645,1.00000,85.31080,0.03382
1,646,1.00000,85.34100,0.03383
1,647,1.00000,85.37110,0.03384
1,648,1.00000,85.40130,0.03385
1,649,1.00000,85.43140,0.03387
1,650,1.00000,85.46150,0.03388
1,651,1.00000,85.49160,0.03389
1,652,1.00000,85.52170,0.03390
1,653,1.00000,85.55170,0.03391
1,654,1.00000,85.58170,0.03392
1,655,1.00000,85.61170,0.03393
1,656,1.00000,85.64170,0.03394
1,657,1.00000,85.67160,0.03396
1,658,1.00000,85.70150,0.03397
1,659,1.00000,85.73140,0.03398
1,660,1.00000,85.76130,0.03399
1,661,1.00000,85.79120,0.03400
1,662,1.00000,85.82100,0.03401
1,663,1.00000,85.85080,0.03402
1,664,1.00000,85.88060,0.03404
1,665,1.00000,85.91040,0.03405
1,666,1.00000,85.94010,0.03406
1,667,1.00000,85.96980,0.03407
1,668,1.00000,85.99950,0.03408
1,669,1.00000,86.02920,0.03409
1,670,1.00000,86.05890,0.03410
1,671,1.00000,86.08850,0.03411
1,672,1.00000,86.11810,0.03413
1,673,1.00000,86.14770,0.03414
1,674,1.00000,86.17730,0.03415
1,675,1.00000,86.20680,0.03416
1,676,1.00000,86.23630,0.03417
1,677,1.00000,86.26590,0.03418
1,678,1.00000,86.29540,0.03419
1,679,1.00000,86.32480,0.03421
1,680,1.00000,86.35430,0.03422
1,681,1.00000,86.38370,0.03423
1,682,1.00000,86.41310,0.03424
1,683,1.00000,86.44250,0.03425
1,684,1.00000,86.47190,0.03426
1,685,1.00000,86.50120,0.03427
1,686,1.00000,86.53060,0.03429
1,687,1.00000,86.55990,0.03430
1,688,1.00000,86.58920,0.03431
1,689,1.00000,86.61840,0.03432
1,690,1.00000,86.64770,0.03433
1,691,1.00000,86.67690,0.03434
1,692,1.00000,86.70610,0.03435
1,693,1.00000,86.73530,0.03437
1,694,1.00000,86.76450,0.03438
1,695,1.00000,86.79370,0.03439
1,696,1.00000,86.82280,0.03440
1,697,1.00000,86.85190,0.03441
1,698,1.00000,86.88100,0.03442
1,699,1.00000,86.91010,0.03443
1,700,1.00000,86.93920,0.03445
1,701,1.00000,86.96820,0.03446
1,702,1.00000,86.99720,0.03447
1,703,1.00000,87.02620,0.03448
1,704,1.00000,87.05520,0.03449
1,705,1.00000,87.08420,0.03450
1,706,1.00000,87.11310,0.03451
1,707,1.00000,87.14200,0.03453
1,708,1.00000,87.17090,0.03454
1,709,1.00000,87.19980,0.03455
1,710,1.00000,87.22870,0.03456
1,711,1.00000,87.25750,0.03457
1,712,1.00000,87.28630,0.03458
1,713,1.00000,87.31510,0.03459
1,714,1.00000,87.34390,0.03461
1,715,1.00000,87.37270,0.03462
1,716,1.00000,87.40140,0.03463
1,717,1.00000,87.43020,0.03464
1,718,1.00000,87.45890,0.03465
1,719,1.00000,87.48760,0.03466
1,720,1.00000,87.51620,0.03467
1,721,1.00000,87.54490,0.03469
1,722,1.00000,87.57350,0.03470
1,723,1.00000,87.60210,0.03471
1,724,1.00000,87.63070,0.03472
1,725,1.00000,87.65930,0.03473
1,726,1.00000,87.68780,0.03474
1,727,1.00000,87.71640,0.03475
1,728,1.00000,87.74490,0.03477
1,729,1.00000,87.77340,0.03478
1,730,1.00000,87.80180,0.03479
1,731,1.00000,87.13030,0.03508
1,732,1.00000,87.15870,0.03509
1,733,1.00000,87.18710,0.03510
