sex,height_cm,l,m,s
2,68.90000,-0.38330,8.08060,0.09072
2,69.00000,-0.38330,8.10120,0.09071
2,69.10000,-0.38330,8.12180,0.09070
2,69.20000,-0.38330,8.14240,0.09069
2,69.30000,-0.38330,8.16300,0.09068
2,69.40000,-0.38330,8.18350,0.09067
2,69.50000,-0.38330,8.20390,0.09065
2,69.60000,-0.38330,8.22440,0.09064
2,69.70000,-0.38330,8.24480,0.09063
2,69.80000,-0.38330,8.26510,0.09062
2,69.90000,-0.38330,8.28550,0.09061
2,70.00000,-0.38330,8.30580,0.09059
2,70.10000,-0.38330,8.32610,0.09058
2,70.20000,-0.38330,8.34640,0.09057
2,70.30000,-0.38330,8.36660,0.09056
2,70.40000,-0.38330,8.38690,0.09055
