sex,age_days,l,m,s
1,420,0.05020,10.05140,0.10971
1,421,0.04990,10.05860,0.10971
1,422,0.04970,10.06570,0.10972
1,423,0.04940,10.07290,0.10973
1,424,0.04920,10.08010,0.10974
1,425,0.04890,10.08720,0.10975
1,426,0.04870,10.09440,0.10976
1,427,0.04840,10.10150,0.10977
1,428,0.04820,10.10870,0.10978
1,429,0.04790,10.11580,0.10979
1,430,0.04770,10.12300,0.10980
1,431,0.04750,10.13010,0.10981
1,432,0.04720,10.13720,0.10982
1,433,0.04700,10.14430,0.10983
1,434,0.04670,10.15150,0.10984
1,435,0.04650,10.15860,0.10985
1,436,0.04620,10.16570,0.10986
1,437,0.04600,10.17280,0.10987
1,438,0.04580,10.17990,0.10988
1,439,0.04550,10.18700,0.10989
1,440,0.04530,10.19410,0.10990
1,441,0.04500,10.20110,0.10991
1,442,0.04480,10.20820,0.10992
1,443,0.04450,10.21530,0.10993
1,444,0.04430,10.22240,0.10994
1,445,0.04410,10.22940,0.10995
1,446,0.04380,10.23650,0.10996
1,447,0.04360,10.24350,0.10997
1,448,0.04330,10.25060,0.10998
1,449,0.04310,10.25760,0.10999
1,450,0.04290,10.26470,0.11000
1,451,0.04260,10.27170,0.11001
1,452,0.04240,10.27880,0.11002
1,453,0.04220,10.28580,0.11003
1,454,0.04190,10.29280,0.11005
1,455,0.04170,10.29980,0.11006
1,456,0.04140,10.30690,0.11007
1,457,0.04120,10.31390,0.11008
1,458,0.04100,10.32090,0.11009
1,459,0.04070,10.32790,0.11010
1,460,0.04050,10.33490,0.11011
1,461,0.04030,10.34190,0.11012
1,462,0.04000,10.34890,0.11013
1,463,0.03980,10.35590,0.11014
1,464,0.03960,10.36290,0.11015
1,465,0.03930,10.36990,0.11016
1,466,0.03910,10.37690,0.11017
1,467,0.03890,10.38390,0.11019
1,468,0.03860,10.39080,0.11020
1,469,0.03840,10.39780,0.11021
1,470,0.03820,10.40480,0.11022
1,471,0.03790,10.41180,0.11023
1,472,0.03770,10.41870,0.11024
1,473,0.03750,10.42570,0.11025
1,474,0.03730,10.43260,0.11026
1,475,0.03700,10.43960,0.11027
1,476,0.03680,10.44650,0.11029
1,477,0.03660,10.45350,0.11030
1,478,0.03630,10.46040,0.11031
1,479,0.03610,10.46740,0.11032
1,480,0.03590,10.47430,0.11033
1,481,0.03570,10.48130,0.11034
1,482,0.03540,10.48820,0.11035
1,483,0.03520,10.49510,0.11037
1,484,0.03500,10.50200,0.11038
1,485,0.03470,10.50900,0.11039
1,486,0.03450,10.51590,0.11040
1,487,0.03430,10.52280,0.11041
1,488,0.03410,10.52970,0.11042
1,489,0.03380,10.53660,0.11044
1,490,0.03360,10.54350,0.11045
1,491,0.03340,10.55050,0.11046
1,492,0.03320,10.55740,0.11047
1,493,0.03290,10.56430,0.11048
1,494,0.03270,10.57120,0.11050
1,495,0.03250,10.57800,0.11051
1,496,0.03230,10.58490,0.11052
1,497,0.03200,10.59180,0.11053
1,498,0.03180,10.59870,0.11054
1,499,0.03160,10.60560,0.11056
1,500,0.03140,10.61250,0.11057
1,501,0.03120,10.61930,0.11058
1,502,0.03090,10.62620,0.11059
1,503,0.03070,10.63310,0.11060
1,504,0.03050,10.63990,0.11062
1,505,0.03030,10.64680,0.11063
1,506,0.03000,10.65370,0.11064
1,507,0.02980,10.66050,0.11065
1,508,0.02960,10.66740,0.11067
1,509,0.02940,10.67420,0.11068
1,510,0.02920,10.68110,0.11069
1,511,0.02890,10.68790,0.11070
1,512,0.02870,10.69480,0.11072
1,513,0.02850,10.70160,0.11073
1,514,0.02830,10.70840,0.11074
1,515,0.02810,10.71530,0.11075
1,516,0.02790,10.72210,0.11077
1,517,0.02760,10.72890,0.11078
1,518,0.02740,10.73570,0.11079
1,519,0.02720,10.74260,0.11081
1,520,0.02700,10.74940,0.11082
1,521,0.02680,10.75620,0.11083
1,522,0.02660,10.76300,0.11084
1,523,0.02630,10.76980,0.11086
1,524,0.02610,10.77660,0.11087
1,525,0.02590,10.78350,0.11088
1,526,0.02570,10.79030,0.11090
1,527,0.02550,10.79710,0.11091
1,528,0.02530,10.80390,0.11092
1,529,0.02500,10.81070,0.11094
1,530,0.02480,10.81740,0.11095
1,531,0.02460,10.82420,0.11096
1,532,0.02440,10.83100,0.11098
1,533,0.02420,10.83780,0.11099
1,534,0.02400,10.84460,0.11100
1,535,0.02380,10.85140,0.11102
1,536,0.02360,10.85820,0.11103
1,537,0.02330,10.86490,0.11104
1,538,0.02310,10.87170,0.11106
1,539,0.02290,10.87850,0.11107
1,540,0.02270,10.88520,0.11108
1,541,0.02250,10.89200,0.11110
1,542,0.02230,10.89880,0.11111
1,543,0.02210,10.90550,0.11113
1,544,0.02190,10.91230,0.11114
1,545,0.02170,10.91910,0.11115
1,546,0.02140,10.92580,0.11117
1,547,0.02120,10.93260,0.11118
1,548,0.02100,10.93930,0.11120
1,549,0.02080,10.94610,0.11121
1,550,0.02060,10.95280,0.11122
1,551,0.02040,10.95960,0.11124
1,552,0.02020,10.96630,0.11125
1,553,0.02000,10.97300,0.11127
1,554,0.01980,10.97980,0.11128
1,555,0.01960,10.98650,0.11129
1,556,0.01940,10.99320,0.11131
1,557,0.01920,11.00000,0.11132
1,558,0.01890,11.00670,0.11134
1,559,0.01870,11.01340,0.11135
1,560,0.01850,11.02020,0.11137
1,561,0.01830,11.02690,0.11138
1,562,0.01810,11.03360,0.11139
1,563,0.01790,11.04030,0.11141
1,564,0.01770,11.04700,0.11142
1,565,0.01750,11.05370,0.11144
1,566,0.01730,11.06050,0.11145
1,567,0.01710,11.06720,0.11147
1,568,0.01690,11.07390,0.11148
1,569,0.01670,11.08060,0.11150
1,570,0.01650,11.08730,0.11151
1,571,0.01630,11.09400,0.11153
1,572,0.01610,11.10070,0.11154
1,573,0.01590,11.10740,0.11156
1,574,0.01570,11.11410,0.11157
1,575,0.01550,11.12080,0.11159
1,576,0.01530,11.12750,0.11160
1,577,0.01510,11.13420,0.11162
1,578,0.01490,11.14090,0.11163
1,579,0.01470,11.14760,0.11165
1,580,0.01440,11.15430,0.11166
1,581,0.01420,11.16100,0.11168
1,582,0.01400,11.16760,0.11169
1,583,0.01380,11.17430,0.11171
1,584,0.01360,11.18100,0.11172
1,585,0.01340,11.18770,0.11174
1,586,0.01320,11.19440,0.11175
1,587,0.01300,11.20110,0.11177
1,588,0.01280,11.20770,0.11178
1,589,0.01260,11.21440,0.11180
1,590,0.01240,11.22110,0.11182
1,591,0.01220,11.22780,0.11183
1,592,0.01200,11.23450,0.11185
1,593,0.01180,11.24110,0.11186
1,594,0.01160,11.24780,0.11188
1,595,0.01140,11.25450,0.11189
1,596,0.01120,11.26120,0.11191
1,597,0.01110,11.26780,0.11192
1,598,0.01090,11.27450,0.11194
1,599,0.01070,11.28120,0.11196
1,600,0.01050,11.28780,0.11197
1,601,0.01030,11.29450,0.11199
1,602,0.01010,11.30120,0.11200
1,603,0.00990,11.30780,0.11202
1,604,0.00970,11.31450,0.11204
1,605,0.00950,11.32120,0.11205
1,606,0.00930,11.32780,0.11207
1,607,0.00910,11.33450,0.11208
1,608,0.00890,11.34120,0.11210
1,609,0.00870,11.34780,0.11212
1,610,0.00850,11.35450,0.11213
1,611,0.00830,11.36120,0.11215
1,612,0.00810,11.36780,0.11216
1,613,0.00790,11.37450,0.11218
1,614,0.00770,11.38110,0.11220
1,615,0.00750,11.38780,0.11221
1,616,0.00730,11.39450,0.11223
1,617,0.00710,11.40110,0.11224
1,618,0.00690,11.40780,0.11226
1,619,0.00670,11.41440,0.11228
1,620,0.00660,11.42110,0.11229
1,621,0.00640,11.42770,0.11231
1,622,0.00620,11.43440,0.11233
1,623,0.00600,11.44100,0.11234
1,624,0.00580,11.44770,0.11236
1,625,0.00560,11.45430,0.11238
1,626,0.00540,11.46100,0.11239
1,627,0.00520,11.46760,0.11241
1,628,0.00500,11.47430,0.11243
1,629,0.00480,11.48090,0.11244
1,630,0.00460,11.48760,0.11246
1,631,0.00440,11.49420,0.11248
1,632,0.00430,11.50090,0.11249
1,633,0.00410,11.50750,0.11251
1,634,0.00390,11.51420,0.11253
1,635,0.00370,11.52080,0.11254
1,636,0.00350,11.52740,0.11256
1,637,0.00330,11.53410,0.11258
1,638,0.00310,11.54070,0.11259
1,639,0.00290,11.54740,0.11261
1,640,0.00270,11.55400,0.11263
1,641,0.00250,11.56060,0.11265
1,642,0.00240,11.56730,0.11266
1,643,0.00220,11.57390,0.11268
1,644,0.00200,11.58060,0.11270
1,645,0.00180,11.58720,0.11271
1,646,0.00160,11.59380,0.11273
1,647,0.00140,11.60050,0.11275
1,648,0.00120,11.60710,0.11276
1,649,0.00100,11.61370,0.11278
1,650,0.00080,11.62040,0.11280
1,651,0.00070,11.62700,0.11282
1,652,0.00050,11.63360,0.11283
1,653,0.00030,11.64030,0.11285
1,654,0.00010,11.64690,0.11287
1,655,-0.00010,11.65350,0.11289
1,656,-0.00030,11.66010,0.11290
1,657,-0.00050,11.66680,0.11292
1,658,-0.00060,11.67340,0.11294
1,659,-0.00080,11.68000,0.11296
1,660,-0.00100,11.68660,0.11297
1,661,-0.00120,11.69330,0.11299
1,662,-0.00140,11.69990,0.11301
1,663,-0.00160,11.70650,0.11303
1,664,-0.00180,11.71310,0.11304
1,665,-0.00190,11.71980,0.11306
1,666,-0.00210,11.72640,0.11308
1,667,-0.00230,11.73300,0.11310
1,668,-0.00250,11.73960,0.11311
1,669,-0.00270,11.74620,0.11313
1,670,-0.00290,11.75280,0.11315
1,671,-0.00300,11.75950,0.11317
1,672,-0.00320,11.76610,0.11318
1,673,-0.00340,11.77270,0.11320
1,674,-0.00360,11.77930,0.11322
1,675,-0.00380,11.78590,0.11324
1,676,-0.00400,11.79250,0.11326
1,677,-0.00410,11.79910,0.11327
1,678,-0.00430,11.80570,0.11329
1,679,-0.00450,11.81240,0.11331
1,680,-0.00470,11.81900,0.11333
1,681,-0.00490,11.82560,0.11335
1,682,-0.00510,11.83220,0.11336
1,683,-0.00520,11.83880,0.11338
1,684,-0.00540,11.84540,0.11340
1,685,-0.00560,11.85200,0.11342
1,686,-0.00580,11.85860,0.11344
1,687,-0.00600,11.86520,0.11345
1,688,-0.00610,11.87180,0.11347
