sex,length_cm,l,m,s
1,97.30000,-0.35210,14.45330,0.08100
1,97.40000,-0.35210,14.47850,0.08103
1,97.50000,-0.35210,14.50380,0.08106
1,97.60000,-0.35210,14.52920,0.08109
1,97.70000,-0.35210,14.55470,0.08112
1,97.80000,-0.35210,14.58020,0.08116
1,97.90000,-0.35210,14.60580,0.08119
1,98.00000,-0.35210,14.63160,0.08122
1,98.10000,-0.35210,14.65740,0.08125
1,98.20000,-0.35210,14.68320,0.08129
1,98.30000,-0.35210,14.70920,0.08132
1,98.40000,-0.35210,14.73530,0.08136
1,98.50000,-0.35210,14.76140,0.08139
1,98.60000,-0.35210,14.78770,0.08143
1,98.70000,-0.35210,14.81400,0.08146
1,98.80000,-0.35210,14.84040,0.08150
1,98.90000,-0.35210,14.86690,0.08154
1,99.00000,-0.35210,14.89340,0.08157
1,99.10000,-0.35210,14.92010,0.08161
1,99.20000,-0.35210,14.94680,0.08165
1,99.30000,-0.35210,14.97360,0.08169
1,99.40000,-0.35210,15.00050,0.08173
1,99.50000,-0.35210,15.02750,0.08177
1,99.60000,-0.35210,15.05460,0.08181
1,99.70000,-0.35210,15.08180,0.08185
1,99.80000,-0.35210,15.10900,0.08189
1,99.90000,-0.35210,15.13630,0.08194
1,100.00000,-0.35210,15.16370,0.08198
1,100.10000,-0.35210,15.19120,0.08202
1,100.20000,-0.35210,15.21870,0.08206
1,100.30000,-0.35210,15.24630,0.08211
1,100.40000,-0.35210,15.27400,0.08215
1,100.50000,-0.35210,15.30180,0.08220
1,100.60000,-0.35210,15.32970,0.08224
1,100.70000,-0.35210,15.35760,0.08229
1,100.80000,-0.35210,15.38560,0.08233
1,100.90000,-0.35210,15.41370,0.08238
1,101.00000,-0.35210,15.44190,0.08243
1,101.10000,-0.35210,15.47010,0.08247
1,101.20000,-0.35210,15.49850,0.08252
1,101.30000,-0.35210,15.52680,0.08257
1,101.40000,-0.35210,15.55530,0.08262
1,101.50000,-0.35210,15.58380,0.08267
1,101.60000,-0.35210,15.61250,0.08272
1,101.70000,-0.35210,15.64120,0.08277
1,101.80000,-0.35210,15.66990,0.08281
1,101.90000,-0.35210,15.69870,0.08287
1,102.00000,-0.35210,15.72760,0.08292
1,102.10000,-0.35210,15.75660,0.08297
1,102.20000,-0.35210,15.78570,0.08302
1,102.30000,-0.35210,15.81480,0.08307
1,102.40000,-0.35210,15.84400,0.08312
1,102.50000,-0.35210,15.87320,0.08317
1,102.60000,-0.35210,15.90260,0.08322
1,102.70000,-0.35210,15.93200,0.08328
1,102.80000,-0.35210,15.96150,0.08333
1,102.90000,-0.35210,15.99100,0.08338
1,103.00000,-0.35210,16.02060,0.08343
1,103.10000,-0.35210,16.05030,0.08349
1,103.20000,-0.35210,16.08010,0.08354
1,103.30000,-0.35210,16.10990,0.08359
1,103.40000,-0.35210,16.13980,0.08365
1,103.50000,-0.35210,16.16970,0.08370
1,103.60000,-0.35210,16.19970,0.08376
1,103.70000,-0.35210,16.22980,0.08381
1,103.80000,-0.35210,16.26000,0.08386
1,103.90000,-0.35210,16.29020,0.08392
1,104.00000,-0.35210,16.32040,0.08397
1,104.10000,-0.35210,16.35080,0.08403
1,104.20000,-0.35210,16.38120,0.08408
1,104.30000,-0.35210,16.41170,0.08414
1,104.40000,-0.35210,16.44220,0.08419
1,104.50000,-0.35210,16.47280,0.08425
1,104.60000,-0.35210,16.50350,0.08431
1,104.70000,-0.35210,16.53420,0.08436
1,104.80000,-0.35210,16.56500,0.08442
1,104.90000,-0.35210,16.59590,0.08447
1,105.00000,-0.35210,16.62680,0.08453
1,105.10000,-0.35210,16.65790,0.08458
1,105.20000,-0.35210,16.68890,0.08464
1,105.30000,-0.35210,16.72010,0.08470
1,105.40000,-0.35210,16.75130,0.08475
1,105.50000,-0.35210,16.78260,0.08481
